EventId,EventTemplate,Occurrences
ba726aba,33:36 test-pc systemd-logind[3443]: Watching system buttons on <*> <*> <*> <*>,2
1783a160,<*> test-pc systemd-logind[3443]: Lid <*>,4
230e814a,<*> test-pc <*> send PrepareForSleep <*>,10
1e91b2a6,<*> test-pc <*> Operation 'sleep' finished.,5
d8231181,<*> test-pc <*> <*> auth could not identify password for [test],7
0d16e493,<*> test-pc <*> Accepted password for test from <*> port <*> ssh2,8
e729fe98,<*> test-pc sudo: root : <*> ; <*> ; USER=root ; <*> <*> <*> <*>,4
56940742,"41:43 test-pc polkitd(authority=local): Registered Authentication Agent for unix-process:433498:15169385 (system bus name :1.1744 [/usr/bin/pkttyagent --notify-fd 5 --fallback], object path /org/freedesktop/PolicyKit1/AuthenticationAgent, locale zh_CN.UTF-8)",1
51450b44,41:50 test-pc polkitd(authority=local): Operator of unix-process:433498:15169385 successfully authenticated as unix-user:test to gain ONE-SHOT authorization for action org.freedesktop.systemd1.manage-units for system-bus-name::1.1745 [systemctl start hedron-client.service] (owned by unix-user:test),1
5cd87e97,<*> test-pc sudo: pam_unix(sudo:auth): conversation failed,2
88ebbb66,52:42 test-pc systemd-logind[3418]: Watching system buttons on <*> <*> <*> <*>,2
733ed414,29:30 test-pc sudo: test : TTY=pts/4 ; PWD=/home/test/zhangyun/work/dlp-v4.2/print-control ; USER=root ; COMMAND=/usr/bin/rm -r debian/print-control/ debian/source/ debian/UnInstall.sh,1
ce3dc987,41:14 test-pc sudo: test : TTY=pts/5 ; PWD=/home/test ; USER=root ; COMMAND=/usr/bin/setfattr sudo setfattr -n security.dlp -v file-sens:BD_L4_15,1
1099ee56,43:06 test-pc sudo: test : TTY=pts/8 ; PWD=/home/test/zhangyun/work/dlp-v4.2 ; USER=root ; COMMAND=/usr/bin/rm -r print-control-1 print-control_1.0.0_amd64.buildinfo print-control_1.0.0_amd64.changes print-control_1.0.0_amd64.deb print-control_1.0.0.dsc print-control_1.0.0.tar.xz,1
2794d936,03:46 test-pc sudo: test : TTY=pts/25 ; PWD=/home/test/zhangyun/work/dlp-v4.2/print-control/debian ; USER=root ; COMMAND=/usr/bin/rm -r .debhelper/ debhelper-build-stamp print-control/ print-control.substvars,1
3bd017ab,20:23 test-pc sudo: root : TTY=pts/26 ; PWD=/ ; USER=root ; COMMAND=/usr/bin/sed -E -i /^application\/pdf.*application\/vnd\.cups-pdf/a\#012application/pdf application\/vnd.cups-pdf 6 textmonitor /usr/share/cups/mime/cupsfilters.convs,1
91ed1419,33:07 test-pc sudo: test : TTY=pts/25 ; PWD=/home/test/zhangyun/work/dlp-v4.2/print-control/debian ; USER=root ; COMMAND=/usr/bin/rm -r .debhelper/ debhelper-build-stamp files print-control/ print-control.substvars,1
1706d827,<*> test-pc systemd-logind[3418]: Lid <*>,6
a7f162fa,38:14 test-pc sudo: test : TTY=pts/9 ; PWD=/home/test/ben/syslog ; USER=root ; COMMAND=/usr/bin/cp -r /var/log/syslog /var/log/syslog.1 /var/log/syslog.2.gz /var/log/syslog.3.gz /var/log/syslog.4.gz /var/log/syslog.5.gz /var/log/syslog.6.gz /var/log/syslog.7.gz /var/log/syslog.bak .,2
d2529c9c,40:29 test-pc sudo: test : TTY=pts/9 ; PWD=/home/test/ben/syslog ; USER=root ; COMMAND=/usr/bin/cat file.txt syslog syslog.1 syslog.2.gz syslog.3.gz syslog.4.gz syslog.5.gz syslog.6.gz syslog.7.gz syslog.bak,2
721f1d0b,05:58 test-pc sudo: test : 3 incorrect password attempts ; TTY=pts/53 ; PWD=/home/test ; USER=root ; COMMAND=/usr/bin/ls,2
4a027c7b,58:10 test-pc sshd[527807]: Invalid user testx from <*> port 63758,1
a1dc3cb9,58:14 test-pc sshd[527807]: pam_unix(sshd:auth): Cannot access user [testx] info,1
7edbbb58,58:14 test-pc sshd[527807]: Failed password for invalid user testx from <*> port 63758 ssh2,1
84627ed3,58:15 test-pc sshd[527807]: message repeated 2 times: [ Failed password for invalid user testx from <*> port 63758 ssh2],1
11c76fb8,58:15 test-pc sshd[527807]: Connection closed by invalid user testx <*> port 63758 [preauth],1
